"latin_name","species_abbr","total_genes","clustered_genes","gene_clusters"
"Brassica nigra-Ni100","Bnh",187,40,16
"Thlaspi arvense-YNU","Tar",103,40,18
"Arabis alpina","Aal",123,51,17
"Arabidopsis thaliana_Col-0-CEN","Aty",113,53,22
"Capsella rubella","Cru",122,38,14
"Cardamine enshiensis","Cen",185,99,40
"Euclidium syriacum","Esy",103,51,18
"Aethionema arabicum","Aar",78,14,6
"Tarenaya hassleriana","Tha",95,16,7
"Carica papaya-SunUp","Cpa",83,31,9
"Moringa oleifera-JLU","Mol",76,29,13
"Gossypium stocksii-ZSTU","Gsz",183,51,20
"Gossypium raimondii","Gra",200,66,24
"Theobroma cacao-Criollo","Tcc",115,47,18
"Hopea hainanensis","Hha",129,39,16
"Aquilaria sinensis-CATAS","Asi",80,20,10
"Toona sinensis","Tos",109,14,7
"Citrus sinensis-Valencia","Csv",123,37,13
"Mangifera indica-HongXiangYa","Mai",137,43,15
"Acer yangbiense","Aya",141,174,56
"Cephalotus follicularis","Cfo",74,9,4
"Averrhoa carambola-FAFU","Aca",142,77,24
"Populus trichocarpa","Ptr",146,49,20
"Salix dunii","Sdu",122,44,20
"Passiflora organensis","Por",116,36,15
"Euphorbia lathyris","Ela",0,0,0
"Manihot esculenta","Mes",157,51,16
"Kandelia obovata","Kob",73,19,9
"Linum usitatissimum-YY5","Luy",169,110,46
"Tripterygium wilfordii-CMU","Twi",101,29,13
"Melastoma dodecandrum","Med",139,32,15
"Eucalyptus grandis","Egr",236,135,46
"Psidium guajava","Pgu",117,37,13
"Punica granatum-Tunisia","Ptu",127,47,13
"Pyrus pyrifolia-Nijisseiki","Ppy",210,47,20
"Malus domestica-HFTH1","Mdh",0,0,0
"Prunus persica-LHSM","Ppl",141,52,18
"Rosa chinensis-OB","Rch",200,97,32
"Fragaria vesca-Hawaii-4","Fve",154,54,22
"Morus alba","Mal",0,0,0
"Boehmeria nivea var. tenacissima","Bon",0,0,0
"Cannabis sativa-CBDRx","Csc",0,0,0
"Rhamnella rubrinervis","Rru",0,0,0
"Citrullus lanatus-97103","Cla",85,28,10
"Cucumis sativus-Chinese Long","Csa",90,27,11
"Trichosanthes anguina","Trs",91,27,10
"Juglans regia-R1","Jrr",148,41,16
"Carya illinoinensis-Pawnee-HAIB","Cip",155,49,18
"Morella rubra","Mrb",119,299,138
"Betula platyphylla","Bep",0,0,0
"Corylus mandshurica","Com",132,55,14
"Castanea mollissima-XTBG","Cmx",0,0,0
"Glycine max-JX23","Gmg",254,88,36
"Phaseolus vulgaris","Pvu",138,46,17
"Medicago truncatula","Mtr",223,125,43
"Lotus japonicus-Gifu","Ljg",142,45,14
"Senna tora","Sto",111,26,11
"Euscaphis japonica","Euj",0,0,0
"Kalanchoe fedtschenkoi","Kfe",114,11,5
"Vitis vinifera-PN40024","Vvi",154,113,41
"Muscadinia rotundifolia","Mro",152,101,28
"Cercidiphyllum japonicum","Cja",88,28,10
"Beta vulgaris ssp. vulgaris-EL10","Bve",99,32,13
"Spinacia oleracea-Monoe-Viroflay","Smv",111,30,11
"Amaranthus hypochondriacus","Ahy",86,24,11
"Dianthus caryophyllus","Dca",164,298,124
"Portulaca amilis","Poa",127,44,20
"Hylocereus undatus-GHB","Hun",115,45,17
"Simmondsia chinensis","Sim",96,21,8
"Fagopyrum tataricum","Fta",142,48,17
"Drosera spatulata","Dsp",63,0,0
"Mimulus guttatus","Mgu",111,51,17
"Mimulus aurantiacus","Mau",105,17,6
"Callicarpa americana","Cab",225,162,15
"Salvia miltiorrhiza-DSS3","Smd",117,42,13
"Striga asiatica","Sas",72,5,2
"Jacaranda mimosifolia","Jam",141,111,39
"Sesamum indicum-Zhongzhi13","Sin",111,20,8
"Strobilanthes cusia-FAFU","Stf",145,55,20
"Utricularia reniformis","Ure",66,4,2
"Utricularia gibba","Ugi",42,7,3
"Buddleja alternifolia","Bal",137,62,20
"Lindernia brevidens","Lbr",104,12,6
"Antirrhinum majus","Anm",115,378,138
"Antirrhinum hispanicum","Ahp",120,45,13
"Primulina huaijiensis","Phu",126,28,12
"Olea europaea-arbequina","Oea",202,36,14
"Fraxinus excelsior","Fex",158,310,146
"Solanum tuberosum","Stu",298,252,48
"Solanum lycopersicum-Heinz1706-CAU","Soc",170,71,23
"Capsicum annuum-UCD10x","Cau",155,80,24
"Petunia axillaris","Pax",227,68,26
"Ipomoea nil","Ini",149,55,23
"Lithospermum erythrorhizon-NJU","Len",127,12,5
"Eustoma grandiflorum","Eug",132,74,29
"Gelsemium sempervirens","Gse",134,20,9
"Catharanthus roseus","Cro",116,20,9
"Coffea canephora","Cof",187,75,30
"Ophiorrhiza pumila","Opp",132,30,13
"Eucommia ulmoides-BFU","Euu",112,68,30
"Helianthus annuus","Han",226,116,37
"Chrysanthemum seticuspe-Gojo-0","Csg",204,107,47
"Carthamus tinctorius","Cti",187,89,17
"Platycodon grandiflorus-XJTU","Plx",104,38,13
"Panax notoginseng-YNAU","Pny",114,28,12
"Apium graveolens","Api",138,36,16
"Lonicera japonica","Loj",194,99,32
"Vaccinium macrocarpon-Ben_Lear","Vmb",126,221,96
"Rhododendron griersonianum","Rgr",155,247,104
"Clethra arborea","Cle",202,11,5
"Actinidia chinensis-Hongyang","Ach",163,40,18
"Roridula gorgonias","Rgo",103,0,0
"Camellia sinensis-Huangdan","Chu",177,81,32
"Diospyros oleifera","Dio",129,44,18
"Synsepalum dulcificum","Syd",133,23,10
"Aegiceras corniculatum-XMU","Acc",142,62,22
"Camptotheca acuminata","Caa",140,60,21
"Hydrangea macrophylla","Hma",154,68,29
"Malania oleifera","Mao",93,30,13
"Telopea speciosissima","Tsp",102,28,12
"Nelumbo nucifera-China Antique","Nnu",96,13,6
"Tetracentron sinense-LZU","Tsl",167,122,39
"Aquilegia coerulea","Aqc",104,33,8
"Aquilegia oxysepala","Aox",0,0,0
"Epimedium pubescens","Epu",176,82,22
"Kingdonia uniflora","Kun",85,10,4
"Papaver somniferum-XJTU","Psp",292,135,44
"Akebia trifoliata?subsp.?australis","Akt",96,24,10
"Litsea cubeba","Lcu",108,24,10
"Cinnamomum kanehirae","Cka",104,15,5
"Chimonanthus praecox-Hongyun","Cpy",109,31,13
"Magnolia officinalis","Mof",93,32,13
"Aristolochia fimbriata","Arf",83,24,6
"Piper nigrum","Pni",159,53,22
"Chloranthus sessilifolius","Chq",96,63,27
"Ceratophyllum demersum","Cde",55,12,6
"Brachypodium distachyon","Bdi",94,22,9
"Aegilops tauschii-AY61","Aea",162,69,23
"Phyllostachys edulis","Ped",160,42,17
"Oryza sativa ssp. indica-MH63","Osm",92,7,3
"Sorghum bicolor-BTx623","Sbi",121,35,14
"Zea mays-B73","Zma",96,9,4
"Oropetium thomaeum","Oth",91,17,8
"Pharus latifolius","Pla",70,16,7
"Kobresia littledalei","Kli",89,28,11
"Typha latifolia-L0001","Tlb",74,19,9
"Ananas comosus","Aco",73,20,10
"Cocos nucifera-Dwarf-HNU","Cod",0,0,0
"Phoenix dactylifera","Pdb",102,25,8
"Musa acuminata-DH-Pahang","Mac",120,30,8
"Zingiber officinale-Zhangliang","Zof",210,2,1
"Asparagus officinalis-male","Aof",86,11,5
"Asparagus setaceus","Ass",129,60,23
"Allium sativum","Asa",212,87,40
"Hemerocallis citrina","Hci",153,45,17
"Phalaenopsis equestris","Peq",71,11,5
"Dendrobium chrysotoxum","Dch",85,20,8
"Vanilla planifolia","Vpl",102,111,40
"Dioscorea alata","Dal",134,57,15
"Acanthochlamys bracteata-CIB","Abc",0,0,0
"Spirodela intermedia-8410","Sie",47,0,0
"Spirodela polyrhiza-c7498","Sps",41,4,2
"Wolffia australiana-8730-GNU","Wag",33,4,2
"Zostera marina","Zom",49,26,9
"Nymphaea colorata","Nco",69,22,9
"Amborella trichopoda","Atr",89,34,14
"Taxus chinensis var. mairei","Tch",203,270,101
"Taxus wallichiana","Twa",255,186,57
"Pinus tabuliformis","Pit",256,148,53
"Ginkgo biloba","Gbi",155,64,25
"Welwitschia mirabilis-WBG","Wmi",96,53,19
"Gnetum montanum","Gmo",115,44,18
"Azolla filiculoides","Afi",0,0,0
"Salvinia cucullata","Scu",30,0,0
"Adiantum capillus-veneris","Adiantum_capillus-veneris",52,16,8
"Ceratopteris richardii","Ceratopteris_richardii",51,15,5
"Alsophila spinulosa","Alsophila_spinulosa",131,39,17
"Marsilea vestita","Marsilea_vestita",52,21,7
"Diphasiastrum complanatum","Diphasiastrum_complanatum",150,54,19
"Huperzia asiatica hapA","Huperzia_asiatica_hapA",186,88,29
"Huperzia asiatica hapB","Huperzia_asiatica_hapB",258,119,36
"Lycopodium clavatum","Lycopodium_clavatum",112,12,5
"Selaginella tamariscina","Sta",45,6,3
"Selaginella lepidophylla","Sle",74,0,0
"Selaginella moellendorffii","Smo",66,21,8
"Isoetes taiwanensis","Ita",109,30,13
"Syntrichia caninervis","Syc",31,4,2
"Ceratodon purpureus-R40","Cpr",59,0,0
"Fontinalis antipyretica","Foa",36,0,0
"Calohypnum plumiforme","Cap",49,8,4
"Physcomitrium patens","Ppa",61,6,3
"Marchantia polymorpha-TAK1","Mpo",42,0,0
"Anthoceros agrestis Bonn","Anb",80,0,0
"Anthoceros angustus","Ant",40,0,0
"Zygcir1559_1","Zygcir1559_1",14,0,0
"Zygcir1560_1","Zygcir1560_1",16,0,0
"Zygcir6981b_2","Zygcir6981b_2",15,0,0
"Zygcyl6981a_1","Zygcyl6981a_1",15,0,0
"Mesotaenium endlicherianum","Men",8,0,0
"Spirogloea muscicola","Smu",18,4,2
"Penium margaritaceum","Pma",29,51,24
"Chara braunii","Cbr",5,0,0
"Klebsormidium nitens-HENU","Knh",14,0,0
"Mesostigma viride-NIES-296","Mvi",8,0,0
"Chlorokybus atmophyticus","Cat",8,0,0
"Chromochloris zofingiensis","Czo",8,0,0
"Scenedesmus obliquus-UTEX B 3031","Soe",25,9,4
"Raphidocelis subcapitata","Rsu",14,0,0
"Volvox carteri","Vca",10,0,0
"Chlamydomonas reinhardtii","Cre",15,0,0
"Ulva mutabilis","Umu",11,0,0
"Chlorella vulgaris","Cvu",9,0,0
"Chlorella sorokiniana-UTEX 1230","Chf",14,0,0
"Picochlorum costavermella","Pic",6,0,0
"Trebouxia sp. A1-2","Trb",17,0,0
"Tetraselmis striata","Tst",15,0,0
"Micromonas sp. RCC299","Msp",15,0,0
"Ostreococcus tauri-RCC4221","Ota",8,0,0
"Prasinoderma coloniale","Prc",11,0,0
